Time [h],Current [A],Voltage [V],Discharge capacity [A.h],X-averaged cell temperature [K],Cycle,Step
9.410873248888356,-0.22754409454925043,4.199999999999999,-0.11815924938404435,298.15,1.0,3.0
9.427539915555021,-0.21631532999572972,4.200000000000001,-0.12185807792191918,298.15,1.0,3.0
9.444206582221689,-0.20564506181372538,4.2,-0.1253744145203313,298.15,1.0,3.0
9.460873248888355,-0.1955062524840338,4.200000000000001,-0.1287173421394793,298.15,1.0,3.0
9.477539915555022,-0.18586606582986892,4.199999999999999,-0.13189544479209517,298.15,1.0,3.0
9.494206582221688,-0.1767059980886348,4.199999999999998,-0.1349168786580827,298.15,1.0,3.0
9.510873248888355,-0.1679993405828478,4.199999999999999,-0.1377894231470117,298.15,1.0,3.0
9.527539915555021,-0.1597262170548776,4.2,-0.1405204694606594,298.15,1.0,3.0
9.544206582221689,-0.15185885642836927,4.2,-0.14311701173968647,298.15,1.0,3.0
9.560873248888354,-0.14437925253581443,4.199999999999999,-0.14558566264772133,298.15,1.0,3.0
9.577539915555022,-0.13726980116714818,4.2,-0.147932738095246,298.15,1.0,3.0
9.594206582221688,-0.13051318471956136,4.2,-0.15016426297763527,298.15,1.0,3.0
9.610873248888355,-0.12408909016689457,4.2,-0.15228594860168906,298.15,1.0,3.0
9.627539915555023,-0.117982267829251,4.2,-0.1543032099183236,298.15,1.0,3.0
9.644206582221688,-0.11218225669555834,4.199999999999999,-0.156221247622697,298.15,1.0,3.0
9.660873248888356,-0.10666514670941589,4.2,-0.15804497598440514,298.15,1.0,3.0
9.677539915555021,-0.10141923041075222,4.2,-0.15977901246040654,298.15,1.0,3.0
9.694206582221689,-0.09642958113504493,4.2,-0.16142775255662153,298.15,1.0,3.0
9.710873248888355,-0.09168892129435788,4.199999999999999,-0.16299540674353322,298.15,1.0,3.0
9.727539915555022,-0.08717878743636415,4.2,-0.1644859709829559,298.15,1.0,3.0
9.744206582221688,-0.08289348159225676,4.2,-0.16590323989152772,298.15,1.0,3.0
9.760873248888355,-0.0788183422612656,4.2,-0.1672508384236404,298.15,1.0,3.0
9.777539915555021,-0.07494008374841851,4.199999999999999,-0.16853215864038779,298.15,1.0,3.0
9.794206582221689,-0.07125961979131767,4.2,-0.16975048950321892,298.15,1.0,3.0
9.810873248888354,-0.06775580191166095,4.2,-0.17090895135074374,298.15,1.0,3.0
9.827539915555022,-0.06442498391791596,4.199999999999999,-0.17201045789932354,298.15,1.0,3.0
9.844206582221688,-0.061257494741026375,4.199999999999999,-0.17305781188814806,298.15,1.0,3.0
9.860873248888355,-0.05824614016010317,4.2,-0.17405367551232415,298.15,1.0,3.0
9.877539915555023,-0.05538359323866996,4.2,-0.17500058995731393,298.15,1.0,3.0
9.894206582221688,-0.05266032572358304,4.199999999999998,-0.17590095594866603,298.15,1.0,3.0
9.910873248888356,-0.05007212152248582,4.2,-0.17675705967571662,298.15,1.0,3.0
9.927539915555021,-0.04760962435725005,4.2,-0.1775710742247144,298.15,1.0,3.0
9.944206582221689,-0.045269099733092594,4.2,-0.17834506359213392,298.15,1.0,3.0
9.960873248888355,-0.043043188704838316,4.199999999999999,-0.17908099932911667,298.15,1.0,3.0
9.977539915555022,-0.04092693847898658,4.199999999999999,-0.17978075038898186,298.15,1.0,3.0
9.994206582221688,-0.038913273173583486,4.199999999999999,-0.18044608548608662,298.15,1.0,3.0
10.010873248888355,-0.03699979482008431,4.2,-0.18107869438603386,298.15,1.0,3.0
10.027539915555021,-0.03517979546893225,4.199999999999998,-0.18168019097177565,298.15,1.0,3.0
10.044206582221689,-0.03344876692385144,4.200000000000001,-0.18225209565838218,298.15,1.0,3.0
10.060873248888354,-0.03180335650680775,4.2,-0.18279586335363768,298.15,1.0,3.0
10.077539915555022,-0.030237486058443782,4.2,-0.18331287037501479,298.15,1.0,3.0
10.094206582221688,-0.028749317225144313,4.2,-0.18380442706904468,298.15,1.0,3.0
10.110873248888355,-0.02733405664967363,4.2,-0.1842717885180015,298.15,1.0,3.0
10.127539915555023,-0.02598813699141067,4.2,-0.1847161401316772,298.15,1.0,3.0
10.144206582221688,-0.024707550658837413,4.199999999999999,-0.18513860419542927,298.15,1.0,3.0
10.160873248888356,-0.023490641064701757,4.199999999999999,-0.18554025579312544,298.15,1.0,3.0
10.177539915555021,-0.02233314886947508,4.2,-0.18592212070924358,298.15,1.0,3.0
10.194206582221689,-0.021232008079099498,4.199999999999999,-0.18628516368381504,298.15,1.0,3.0
10.210873248888355,-0.020185446915934293,4.200000000000001,-0.186630309142107,298.15,1.0,3.0
